Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Cluster,PC1,PC2,TSNE1,TSNE2
All,Lake alluvium,33.1,851,2,0,0.067173947389084,-1.391100169862243,-5.646771,-76.44727
Peat,Lithosols: Stony mineral soils often overlying bedrock,153.5,1280,2,0,-0.3873100304577646,0.3868638540201861,-10.613044,13.956989
Fine loamy,Luvisol: Well drained mineral soils,89.8,1109,3,2,1.7481609363528658,0.045830527817476874,58.025547,8.4536
Fine loamy,Surface-water Gley: Poorly drained mineral soil,80.3,1113,2,0,-0.17185305293003594,-0.5193077968984318,-11.967743,-30.79112
Peat,Peat soils,297.0,1989,1,3,-2.988548392109513,2.378876664248319,-64.6524,50.204453
Fine loamy,Luvisol: Well drained mineral soils,55.6,993,3,2,1.8734582020722996,-0.44829109719548077,49.74713,-22.360191
Fine loamy,Brown Podzolic: Well drained acid mineral soil,67.9,1344,2,0,-0.3035443879233499,-0.18976831079247747,-27.380823,1.5041064
Fine loamy,Luvisol: Well drained mineral soils,59.8,913,3,2,1.9192037090372764,-0.5631844991017616,61.994526,-32.277245
Peat,Peat soils,29.9,1390,3,2,1.6535552999341467,0.08237973344652283,15.297015,27.650442
Peat,Peat soils,76.8,1172,1,1,-2.1363243460352304,-0.9332084830429964,-56.630924,-12.117262
Coarse loamy,Surface-water Gley: Poorly drained mineral soil,72.1,1135,2,0,-0.17412238362811872,-0.544982452014392,-16.458725,-30.65931
Peat,Peat soils,74.1,832,1,1,-1.9118300648705273,-1.5885608705493532,-50.057465,-74.23612
Peat,Peat soils,54.8,1111,1,1,-2.0645583712278226,-1.225691318034055,-61.029198,-25.04753
Peat,Peat soils,42.1,1046,1,1,-2.0038087569827585,-1.4500242317195324,-63.341156,-32.44266
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,110.7,2387,2,3,-1.0427313536093408,2.1012205992441344,-33.35943,46.203667
Fine loamy,Surface-water Gley: Poorly drained mineral soil,104.3,1424,2,0,-0.4087098748630309,0.2551713409351817,-22.340425,10.025502
Peat,Peat soils,100.4,1106,2,0,-0.19672974852998104,-0.36895117585586323,-2.3711543,-28.823593
Peat,Peat soils,132.0,1617,1,1,-2.505763585098425,0.34453775229202144,-69.98185,20.292303
Peat,Lithosols: Stony mineral soils often overlying bedrock,195.3,1108,3,2,1.5944054562149859,0.9016000728069435,63.222538,62.10961
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,79.7,1420,3,2,1.5612110434134028,0.5431033326730361,25.091986,38.398594
Fine loamy,Surface-water Gley: Poorly drained mineral soil,108.0,1148,2,0,-0.2350962112051156,-0.2289251576014053,-4.652725,-22.4011
Fine loamy,Surface-water Gley: Poorly drained mineral soil,81.0,1266,2,0,-0.27212175310718223,-0.2285857697781577,-19.471817,-9.894891
Fine loamy,Luvisol: Well drained mineral soils,120.7,888,3,2,1.8462901145268198,-0.11468891105877066,97.07109,9.540854
Fine loamy,Brown Podzolic: Well drained acid mineral soil,393.4,1196,3,2,1.2473952916453328,2.6759378829774922,23.247374,75.20084
Fine loamy,Luvisol: Well drained mineral soils,50.2,943,3,2,1.913794103021396,-0.5853364476434718,50.698208,-32.433163
Fine loamy,Brown Earth: Well drained mineral soils,6.9,1411,3,2,1.6735951095651034,-0.06547029918026115,11.713205,29.090614
Fine loamy,Luvisol: Well drained mineral soils,74.2,957,3,2,1.869587821453404,-0.3641538956760848,65.152336,-18.630123
Peat,Peat soils,173.9,1570,1,1,-2.5365993894203562,0.597593266506601,-64.0218,27.398767
Peat,Peat soils,16.3,1445,1,1,-2.2248626145265598,-0.9164404199399924,-82.58113,-2.3380346
Fine loamy,Surface-water Gley: Poorly drained mineral soil,264.0,1553,2,0,-0.7261147170691542,1.7937281910014087,-11.9140835,52.731125
Fine loamy,Brown Podzolic: Well drained acid mineral soil,200.4,989,3,2,1.664131317210142,0.7213678598440101,69.38624,65.42828
Fine loamy,Surface-water Gley: Poorly drained mineral soil,230.0,1446,2,0,-0.606948055773255,1.3179989727916976,-7.072921,51.545753
Peat,Lithosols: Stony mineral soils often overlying bedrock,32.7,1347,3,2,1.67734953605747,0.025034630673820724,16.281372,24.771133
Peat,Peat soils,145.5,1388,1,1,-2.376979461076514,0.027666308894678915,-59.20268,13.989419
Coarse loamy,Brown Earth: Well drained mineral soils,12.2,1084,2,0,-0.05337455404959446,-1.1269331336162787,-21.209106,-72.22683
