Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Cluster,PC1,PC2,TSNE1,TSNE2
Fine loamy,Brown Earth: Well drained mineral soils,28.1,1058,3,2,1.871543149280022,-0.5507527461410229,28.363749,-17.001038
Peat,Peat soils,145.7,1335,1,1,-2.3428934543800817,-0.06944427529098374,-58.265034,13.495198
Clayey,Surface-water Gley: Poorly drained mineral soil,77.3,889,3,2,1.909159369136888,-0.46563401974509466,79.78507,-27.134113
All,River alluvium,1.0,1156,0,1,-3.946332114948899,-2.0745729889120716,-112.37244,-17.714615
Fine loamy,Groundwater Gley: Poorly drained mineral soil,25.5,1037,2,0,-0.04235293405437002,-1.1063732535123252,-17.818264,-71.57023
Fine loamy,Brown Earth: Well drained mineral soils,110.8,990,2,0,-0.13670664800443344,-0.5005096791438587,11.38264,-38.372982
Coarse loamy,Brown Earth: Well drained mineral soils,80.9,1156,3,2,1.7306997126165395,0.061039206807465884,47.594162,12.401275
Fine loamy,Brown Earth: Well drained mineral soils,32.9,989,2,0,-0.02204773584278641,-1.1356387109337214,-14.045201,-70.88375
Fine loamy,Surface-water Gley: Poorly drained mineral soil,165.3,1317,2,0,-0.4285801125227211,0.5517178304355921,-11.307446,17.191345
Clayey,Surface-water Gley: Poorly drained mineral soil,68.6,1001,2,0,-0.08208019914076026,-0.8230702115834769,-6.328295,-50.929134
Peat,Peat soils,306.1,1310,1,1,-2.5614299062177084,1.1879085013536614,-51.562473,40.696728
Coarse loamy,Brown Earth: Well drained mineral soils,16.14557,1229,2,0,-0.15320405606268528,-0.8247307722504803,-40.33929,-29.201204
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,64.0,1646,3,2,1.4375926863162345,0.8365016421207183,16.925838,43.302956
Fine loamy,Luvisol: Well drained mineral soils,65.4,802,3,2,1.9830085567355233,-0.7244484913362427,67.76659,-52.507183
Fine loamy,Brown Earth: Well drained mineral soils,140.8,1232,3,2,1.5937355075864161,0.6895636750984289,47.85598,47.795532
Coarse loamy,Brown Earth: Well drained mineral soils,20.0,1170,3,2,1.8107485123257003,-0.40794884737871884,18.274193,-4.8218126
Peat,Peat soils,237.5,1321,1,1,-2.4681658349074285,0.6507366143503881,-53.18797,34.711044
Fine loamy,Brown Earth: Well drained mineral soils,50.0,1016,3,2,1.866734995963684,-0.45096683410654836,45.0321,-18.699375
Peat,Peat soils,64.6,1280,1,1,-2.1885238230676336,-0.8311861838521182,-64.88682,-6.4064884
Fine loamy,Luvisol: Well drained mineral soils,73.0,953,3,2,1.8739386970914147,-0.3813607631174122,65.08606,-19.407446
Coarse loamy,Brown Earth: Well drained mineral soils,212.0,1161,3,2,1.5355855169675072,1.1360944407852487,62.048103,65.49448
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,89.0,1244,2,0,-0.2695597131481402,-0.20453695825737672,-16.108427,-8.033568
Peat,Peat soils,53.1,1004,1,1,-1.9926642555768233,-1.4388467956223248,-57.690704,-42.073483
Fine loamy,Brown Earth: Well drained mineral soils,75.0,1094,2,0,-0.15177181217140312,-0.5977887300543786,-13.616998,-34.213623
Peat,Peat soils,69.8,880,1,1,-1.9366722566269772,-1.5340948374026795,-53.25876,-70.97714
Coarse loamy,Brown Earth: Well drained mineral soils,33.1,930,3,2,1.9472532600682335,-0.7485644441096134,43.11213,-37.246258
Coarse loamy,Brown Earth: Well drained mineral soils,39.5,945,3,2,1.9281567384465816,-0.6685931770504331,45.55614,-34.92892
All,River alluvium,3.0,1346,0,1,-4.072503660990647,-1.7043537741233,-109.08941,-13.677713
Peat,Peat soils,108.2,1276,2,0,-0.3184167627782646,0.01115847384184443,-14.379228,0.962095
Fine loamy,Luvisol: Well drained mineral soils,129.4,1182,2,0,-0.28847037274191845,0.008380456979913298,-6.801079,5.1561027
Peat,Peat soils,561.0,1928,1,3,-3.3353566604736677,4.411350170363521,-58.023136,63.55121
Fine loamy,Luvisol: Well drained mineral soils,49.8,973,3,2,1.8949198710013944,-0.5326995908069387,48.239796,-28.185368
Coarse loamy,Brown Earth: Well drained mineral soils,84.3,1130,3,2,1.7425886856498982,0.040241809768872816,50.739,12.53398
Coarse loamy,Brown Earth: Well drained mineral soils,63.0,978,3,2,1.8723577846877717,-0.4160791561872961,53.2145,-21.769623
Fine loamy,Brown Earth: Well drained mineral soils,107.1,1322,3,2,1.5846780664322715,0.5832746613914077,38.139202,39.68274
Fine loamy,Luvisol: Well drained mineral soils,97.3,911,3,2,1.8656180326435665,-0.26206472794078717,90.96173,-6.514363
Peat,Lithosols: Stony mineral soils often overlying bedrock,242.2,1869,2,0,-0.8991843933328276,2.2052039028768005,-19.864853,49.349216
Peat,Peat soils,16.2,1145,1,1,-2.030119754476885,-1.4761387820064973,-76.61063,-18.870163
Peat,Peat soils,80.0,1940,1,3,-2.6391747480837164,0.5235517415682946,-83.67143,33.77956
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,30.8,1591,3,2,1.5218584496289695,0.46414927460500266,12.842225,39.780846
Fine loamy,Surface-water Gley: Poorly drained mineral soil,85.8,1284,3,2,1.6405004934108511,0.3393301627374268,37.635155,28.082151
Peat,Peat soils,77.1,867,1,1,-1.938923629417154,-1.4989699152569584,-49.56038,-70.568634
Clayey,Surface-water Gley: Poorly drained mineral soil,187.8,1275,2,0,-0.434266393621936,0.6563812732556042,-7.919495,22.3969
Fine loamy,Brown Earth: Well drained mineral soils,119.2,1248,3,2,1.6149696274809786,0.5437797903000838,48.166737,38.672634
Peat,Peat soils,82.8,1706,1,1,-2.491487403510172,0.11038290849104904,-78.32816,16.725176
Fine loamy,Brown Earth: Well drained mineral soils,41.8,1007,3,2,1.884573970825584,-0.5343929847169631,39.749638,-24.590366
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,35.0,1155,2,0,-0.13279791608147917,-0.809317409568873,-31.544256,-30.584652
Peat,Peat soils,92.3,1380,2,0,-0.36260649841066783,0.07565086065165505,-23.180714,5.186529
Fine loamy,Luvisol: Well drained mineral soils,45.4,874,3,2,1.96557632153083,-0.7529003451896231,57.59588,-46.695656
Loamy,Brown Podzolic: Well drained acid mineral soil,140.0,1151,2,0,-0.2838756580127688,0.036798672029956236,-4.5520782,7.145826
Peat,Peat soils,37.7,992,1,1,-1.9623417822662024,-1.5863921700618797,-63.341946,-38.31856
Fine loamy,Luvisol: Well drained mineral soils,102.6,1036,3,2,1.7767793599701518,0.013889060776842932,70.80975,11.496125
Fine loamy,Brown Earth: Well drained mineral soils,105.6,1713,2,0,-0.5980737852797571,0.8041322984295682,-27.664204,30.13461
Fine loamy,Brown Earth: Well drained mineral soils,117.1,1125,3,2,1.6978276419429204,0.2975654020404468,61.700665,30.002075
Fine loamy,Luvisol: Well drained mineral soils,58.8,868,3,2,1.9498567311549513,-0.655146533117995,63.95645,-43.649788
Fine loamy,Surface-water Gley: Poorly drained mineral soil,52.8,1102,2,0,-0.12447032434945093,-0.7633537573787657,-23.707747,-39.92538
Fine loamy,Luvisol: Well drained mineral soils,142.7,994,3,2,1.745334663906533,0.26162673997262487,92.33575,24.391617
Peat,Lithosols: Stony mineral soils often overlying bedrock,181.0,1738,2,0,-0.7246415521129506,1.4636491205012039,-22.352432,36.296593
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,14.0,1507,3,2,1.6009330490669118,0.17109048933465343,12.443026,32.927734
Peat,Peat soils,36.7,1144,1,1,-2.059473798707132,-1.311352764968192,-71.38343,-19.946396
Peat,Peat soils,72.8,868,1,1,-1.9332790353245963,-1.532062601085748,-51.721893,-71.35203
Fine loamy,Luvisol: Well drained mineral soils,49.7,1048,3,2,1.8464170992770752,-0.39379115253729946,42.70734,-14.00586
Peat,Peat soils,218.0,1356,1,1,-2.4623296075961525,0.5574201651851225,-54.22886,32.522118
Coarse loamy,Brown Earth: Well drained mineral soils,66.3,895,3,2,1.9213664483812565,-0.5438777086745725,69.15613,-30.619167
Fine loamy,Luvisol: Well drained mineral soils,87.9,857,3,2,1.9144027388841014,-0.4390787561626146,88.72996,-28.802536
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,46.1,1181,2,0,-0.1659083105343746,-0.6706463518797879,-28.133434,-27.847635
Fine loamy,Brown Earth: Well drained mineral soils,42.4,1265,3,2,1.7163428483821992,-0.04887397530015836,23.575266,14.732296
Fine loamy,Surface-water Gley: Poorly drained mineral soil,67.9,772,2,0,0.06748628240924948,-1.2553765502385428,7.901304,-78.32008
Fine loamy,Luvisol: Well drained mineral soils,80.3,1062,2,0,-0.13877164700877298,-0.6143183217441474,-4.1232996,-38.75981
Peat,Peat soils,237.6,1781,1,3,-2.766693497847341,1.5085072112269806,-66.301956,42.21511
Peat,Peat soils,71.8,953,1,1,-1.9869511655552392,-1.381840944318785,-53.76478,-48.568367
Peat,Peat soils,82.5,1631,2,0,-0.5110761541577302,0.4635853428462,-30.41635,18.961872
Peat,Peat soils,40.1,1016,1,1,-1.9814220138312475,-1.522171211698216,-63.061676,-34.933193
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,183.0,1180,3,2,1.5657039144633655,0.935743197367962,59.82757,57.253242
Clayey,Surface-water Gley: Poorly drained mineral soil,121.6,1097,2,0,-0.22191903502907318,-0.21337831797493523,1.0229614,-22.29324
Fine loamy,Luvisol: Well drained mineral soils,89.1,918,3,2,1.8730785272164434,-0.31568365507019325,86.83491,-10.169098
Peat,Peat soils,65.74042,1224,1,1,-2.1538681995329654,-0.9262407432715778,-62.54823,-9.479087
Fine loamy,Luvisol: Well drained mineral soils,93.7,948,3,2,1.8468865636724638,-0.2224007083541799,83.972824,-3.8341088
Fine loamy,Luvisol: Well drained mineral soils,116.8,1051,3,2,1.7462671771710934,0.15726822804801222,73.462204,24.00702
Fine loamy,Luvisol: Well drained mineral soils,72.4,1086,3,2,1.7885457074717817,-0.13846574871706396,53.990147,1.3987296
Peat,Peat soils,97.7,1240,1,1,-2.211021005033811,-0.6366271275524822,-54.435833,-2.4017012
Coarse loamy,Brown Earth: Well drained mineral soils,1.8,1096,2,0,-0.04593753269648726,-1.1891215829548407,-22.039644,-73.64358
Peat,Lithosols: Stony mineral soils often overlying bedrock,387.0,1487,2,3,-0.8633196813667992,2.6706672051774576,-14.960879,63.401314
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,25.0,1203,3,2,1.782025165205611,-0.30582535906965813,18.314693,3.3802943
All,River alluvium,45.5,1032,0,1,-3.931026703272372,-1.9438287709625177,-105.98977,-25.128763
Fine loamy,Brown Earth: Well drained mineral soils,96.3,1264,3,2,1.6381063575717763,0.38742792213307387,40.919373,30.125652
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,108.3,905,2,0,-0.07791210570700624,-0.6791835988264581,20.224209,-55.884907
Fine loamy,Luvisol: Well drained mineral soils,147.9,1302,2,0,-0.39338458154831635,0.3823251656415556,-11.638861,13.4390745
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,167.0,1218,2,0,-0.3668512944525393,0.3811053057058731,-7.298647,16.4952
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,226.6,1532,3,2,1.2735667292157515,1.9459360176992222,25.776285,66.01527
Fine loamy,Groundwater Gley: Poorly drained mineral soil,121.8,903,2,0,-0.09637267078561962,-0.5731650590869879,23.763252,-54.07641
Fine loamy,Surface-water Gley: Poorly drained mineral soil,165.1,1434,2,0,-0.5041800403752479,0.7680573085452898,-14.692938,29.698568
Fine loamy,Luvisol: Well drained mineral soils,7.5,722,3,2,2.119640289228312,-1.3441663295456663,53.37059,-56.77013
Coarse loamy,Groundwater Gley: Poorly drained mineral soil,152.0,1522,2,0,-0.5420892253720551,0.8255042822066005,-17.982805,29.750343
Peat,Peat soils,10.2,1200,1,1,-2.0570145026416298,-1.4224517591459056,-77.60934,-17.079695
Fine loamy,Luvisol: Well drained mineral soils,89.3,978,3,2,1.8338665168716455,-0.20228072342123082,75.76047,-2.6000254
Coarse loamy,Brown Earth: Well drained mineral soils,49.5,995,3,2,1.8810885244954259,-0.4941534239133204,45.938328,-20.808254
Peat,Peat soils,68.7,821,1,1,-1.8967917096259268,-1.6529511137623851,-51.71309,-75.74215
Fine loamy,Brown Earth: Well drained mineral soils,84.7,1130,3,2,1.7420032671279797,0.043493496959231326,50.827225,12.640215
Fine loamy,Luvisol: Well drained mineral soils,9.8,1003,3,2,1.9340020726513014,-0.8019797658158877,30.05991,-35.276093
Peat,Peat soils,62.6,1546,2,0,-0.4268159061568575,0.14346303038301,-32.651745,14.379928
Peat,Peat soils,51.6,1131,1,1,-2.072848123413756,-1.214445786205661,-62.88067,-23.839361
All,River alluvium,83.9,843,0,1,-3.864631082962433,-1.9837646280575272,-93.933075,-27.79082
Fine loamy,Luvisol: Well drained mineral soils,69.6,887,2,0,-0.009597073386261812,-1.0273174609097686,4.2473865,-67.57515
Coarse loamy,Brown Earth: Well drained mineral soils,56.4,976,3,2,1.8833145003355511,-0.4734578977633358,51.209923,-24.06362
Fine loamy,Luvisol: Well drained mineral soils,10.9,1006,3,2,1.930446206661835,-0.787448771639713,30.140676,-34.930077
Fine loamy,Surface-water Gley: Poorly drained mineral soil,39.1,1033,2,0,-0.05966254372733548,-1.0032676949103916,-19.179453,-57.01716
Loamy,Surface-water Gley: Poorly drained mineral soil,55.4,1081,2,0,-0.11465378936257586,-0.7813397714602601,-18.807165,-45.108677
All,River alluvium,70.9,1054,3,2,1.811497987507023,-0.2102740226429256,53.795654,-8.550005
All,River alluvium,98.0,1441,0,1,-4.273162786662315,-0.7550976769946887,-102.5149,-13.021136
Peat,Peat soils,129.1,1326,1,1,-2.312760690557898,-0.22115585689892492,-56.359272,5.982921
Fine loamy,Luvisol: Well drained mineral soils,108.4,1005,3,2,1.78839909696232,0.003287029542585529,79.26302,10.686082
Peat,Peat soils,518.2,2155,1,3,-3.4199615677289374,4.4863096241319855,-59.46072,63.090168
Fine loamy,Luvisol: Well drained mineral soils,59.3,814,3,2,1.9841523289780092,-0.7516813033784518,65.623566,-50.407425
Peat,Peat soils,76.0,2553,2,3,-1.0996230298315521,2.128386679096009,-34.362568,46.762466
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,89.1,1299,3,2,1.625940965334065,0.39410085407132933,38.066998,29.569704
Fine loamy,Surface-water Gley: Poorly drained mineral soil,120.8,1175,2,0,-0.2713432893942276,-0.07457147788573404,-6.975252,3.7734318
Peat,Peat soils,114.7,1294,1,1,-2.2709286631907926,-0.3978310427138452,-55.27195,4.6375
Fine loamy,Luvisol: Well drained mineral soils,46.5,901,3,2,1.946452735107827,-0.6936585157919352,50.17675,-37.556526
Coarse loamy,Brown Earth: Well drained mineral soils,29.8,1297,3,2,1.7140265712445766,-0.09168767483443041,16.00699,13.5128975
Coarse loamy,Brown Earth: Well drained mineral soils,68.9,900,3,2,1.9143179528984682,-0.5134269845994276,70.05741,-29.545149
Fine loamy,Surface-water Gley: Poorly drained mineral soil,62.8,872,2,0,0.010084866757308575,-1.1105404151593075,2.0904572,-71.029434
Fine loamy,Brown Earth: Well drained mineral soils,121.0,981,3,2,1.7855261339554307,0.061004340817361946,86.24216,14.931714
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,116.8,1330,3,2,1.5652924271312418,0.6770316874981035,39.224842,41.99837
Peat,Peat soils,19.1,923,1,1,-1.8903626247505878,-1.8661392756753963,-69.706245,-44.885773
Coarse loamy,Brown Earth: Well drained mineral soils,72.0,1084,3,2,1.7904284360298286,-0.14544333884254845,53.92777,1.2884091
Fine loamy,Surface-water Gley: Poorly drained mineral soil,66.3,1070,2,0,-0.12347123888614497,-0.7132237616661872,-11.594414,-44.435776
All,River alluvium,15.1,1333,0,1,-4.081780056043843,-1.6302086056932779,-108.92029,-13.8628235
Fine loamy,Luvisol: Well drained mineral soils,190.8,1152,3,2,1.5724505937917508,0.9469884564881856,61.5745,62.154617
Coarse loamy,Brown Earth: Well drained mineral soils,1.3,1174,2,0,-0.095800850953081,-1.0478759774728708,-41.40349,-32.748592
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,37.9,1161,3,2,1.7903889286324342,-0.27920240881824776,27.036503,-0.17675656
Fine loamy,Brown Earth: Well drained mineral soils,116.1,1146,3,2,1.6856694328683721,0.32855816488337486,59.00652,30.73982
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,89.3,1250,2,0,-0.2738907071479626,-0.19092048405922957,-16.528702,-7.785808
Peat,Peat soils,30.0,1423,1,1,-2.230642788504853,-0.846055065956604,-78.59896,-3.125612
Fine loamy,Brown Earth: Well drained mineral soils,254.3,1413,3,2,1.3102164437225259,1.949424130991539,28.199476,70.71609
Loamy,Surface-water Gley: Poorly drained mineral soil,105.5,1476,2,0,-0.44419619136811317,0.36179987881953557,-22.979237,11.474138
Loamy,Podzols: Well drained acid mineral soil,252.7,1365,3,2,1.3436935586772707,1.8469957117870788,28.934412,71.38296
Fine loamy,Surface-water Gley: Poorly drained mineral soil,32.9,942,2,0,0.008439050006220583,-1.2231974299091848,-11.283262,-72.50547
Fine loamy,Luvisol: Well drained mineral soils,116.6,856,3,2,1.8730476149545296,-0.20763315172196206,98.80883,9.07005
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,16.0,1154,2,0,-0.1043418812722976,-0.9656355025784603,-37.70366,-32.663334
Fine loamy,Surface-water Gley: Poorly drained mineral soil,145.6,1092,2,0,-0.25380087125384954,-0.027591843891246137,-0.17487325,8.697654
Peat,Peat soils,15.6,1457,1,1,-2.2316219923299707,-0.8997754549123629,-82.98981,-1.8044703
Peat,Peat soils,96.0,1722,1,1,-2.521184695022499,0.24749580925388526,-77.743935,18.203096
All,River alluvium,33.5,932,0,1,-3.8485986458084254,-2.2276745334295747,-105.88387,-31.439379
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,178.2,1176,3,2,1.575323556798641,0.8892711452134088,60.118717,56.398888
Fine loamy,Brown Earth: Well drained mineral soils,104.5,1037,3,2,1.773349966972976,0.03119752639860862,71.08085,12.098024
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,85.5,1270,2,0,-0.2813023315510188,-0.1845524830163734,-18.874296,-8.53834
Peat,Peat soils,345.3,1818,2,3,-1.0169946114359982,2.9483157513459637,-19.920347,58.486656
Peat,Peat soils,321.0,2162,1,3,-3.135890821549679,2.8962684995582313,-66.19956,57.390312
Fine loamy,Luvisol: Well drained mineral soils,53.8,852,3,2,1.967552942967954,-0.725599846478484,62.4481,-45.82583
Fine loamy,Luvisol: Well drained mineral soils,80.9,860,3,2,1.9227015979634796,-0.49039442759119745,84.96607,-29.151447
Fine loamy,Luvisol: Well drained mineral soils,117.1,1024,3,2,1.7633417987673825,0.1094073038165786,75.361206,22.962873
Peat,Peat soils,214.1,1757,1,1,-2.716732439251107,1.2727597535719113,-66.36706,38.189617
Peat,Lithosols: Stony mineral soils often overlying bedrock,425.5,1669,2,3,-1.0377214273890778,3.3226992643459288,-18.116318,64.21501
Fine loamy,Luvisol: Well drained mineral soils,110.4,981,3,2,1.801039724786265,-0.0251653697271359,82.93386,9.28812
All,River alluvium,109.6,1209,2,0,-0.27700584139469164,-0.10227836931862566,-9.763561,0.15996535
Peat,Peat soils,87.1,964,1,1,-2.0164786292173167,-1.2369714431443821,-47.759098,-55.988747
Peat,Peat soils,207.9,1771,3,2,1.1459064957981386,2.2391650422975364,20.001877,59.506615
Fine loamy,Surface-water Gley: Poorly drained mineral soil,138.7,1077,2,0,-0.23397257647979952,-0.11162771993837439,1.2724508,-17.32956
Fine loamy,Luvisol: Well drained mineral soils,80.7,897,3,2,1.8989940715560705,-0.42309106688654374,80.6086,-25.327858
Peat,Peat soils,117.0,916,1,1,-2.029103222863636,-1.0833294961081177,-41.85249,-61.623596
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,147.7,1318,3,2,1.5278527065298233,0.9058691053425338,41.554516,51.66641
Fine loamy,Luvisol: Well drained mineral soils,105.0,1132,2,0,-0.22032709200170464,-0.2831200350101022,-4.1845717,-24.820755
Fine loamy,Surface-water Gley: Poorly drained mineral soil,35.0,1181,2,0,-0.14966294655114254,-0.7608806714122337,-31.708818,-28.919796
Fine loamy,Luvisol: Well drained mineral soils,84.2,913,3,2,1.8834931792002623,-0.36483158048989883,84.74512,-14.079544
Peat,Lithosols: Stony mineral soils often overlying bedrock,15.0,1227,3,2,1.7810929078200317,-0.342406703607105,12.89633,0.40150252
Peat,Peat soils,290.0,1490,2,0,-0.7233016548558107,1.8877219159182332,-12.105791,54.6216
All,Marine alluvium,-1.7,1195,0,1,-3.9676780856304457,-2.023866770212032,-111.71961,-17.014261
Coarse loamy,Brown Earth: Well drained mineral soils,77.3,1167,2,0,-0.20248978499110404,-0.443096071577715,-15.855844,-25.092617
Fine loamy,Luvisol: Well drained mineral soils,25.0,711,3,2,2.101163434093091,-1.2223974811106793,54.916584,-56.6417
Peat,Peat soils,303.3,1352,1,1,-2.584575487322968,1.2433906526588006,-51.92496,40.74042
Fine loamy,Brown Earth: Well drained mineral soils,42.7,1061,3,2,1.848229408175813,-0.42647730929025185,35.57827,-15.814541
Fine loamy,Brown Earth: Well drained mineral soils,87.0,1313,2,0,-0.3113898167849638,-0.0922517429473182,-22.183664,0.12872803
Peat,Peat soils,588.0,1880,1,3,-3.3437369698360797,4.541417385269687,-57.73184,64.01036
All,River alluvium,82.5,1120,0,1,-4.042259558139443,-1.4791079767088164,-101.82004,-19.304707
Fine loamy,Luvisol: Well drained mineral soils,108.5,926,3,2,1.839496488758896,-0.14307321459730604,92.03935,2.312931
Fine loamy,Surface-water Gley: Poorly drained mineral soil,101.5,1473,2,0,-0.4363960410947385,0.32369415251326217,-23.366993,11.306648
Peat,Peat soils,305.0,1417,2,0,-0.6979030331090748,1.8736647284245707,-10.002474,58.572132
Peat,Peat soils,41.8,897,1,1,-1.9067200953997858,-1.7300427657791961,-67.45791,-47.759586
Fine loamy,Brown Earth: Well drained mineral soils,9.2,1151,3,2,1.8388792577607092,-0.5311404794020939,15.563731,-8.075733
Peat,Peat soils,66.6,1133,1,1,-2.096098628021819,-1.088781613632095,-58.205864,-20.887417
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,182.1,1302,3,2,1.4878851939338755,1.1557069802323476,41.13301,61.724552
Peat,Peat soils,63.0,2026,1,3,-2.670078792455693,0.5455688621884844,-84.58476,34.95826
Loamy,Podzols: Well drained acid mineral soil,192.0,1354,2,0,-0.4916570345291329,0.8376971546918486,-9.2689495,24.389154
Fine loamy,Brown Earth: Well drained mineral soils,115.0,1260,2,0,-0.3179903973618514,0.036629932596928594,-12.479859,2.2967482
Fine loamy,Surface-water Gley: Poorly drained mineral soil,73.3,1040,2,0,-0.11425641247779517,-0.7122077798618066,-6.798876,-44.897373
Clayey,Surface-water Gley: Poorly drained mineral soil,97.6,945,3,2,1.8431246981379532,-0.19628561265087474,85.72773,-2.957402
Peat,Peat soils,82.6,1045,1,1,-2.0624337273089193,-1.122653855163307,-45.70364,-51.871742
Peat,Peat soils,361.6,1631,2,0,-0.9195519278262028,2.732450079918778,-16.054377,60.217716
Peat,Peat soils,115.0,2256,1,3,-2.895373854459784,1.3967670344745788,-83.2033,39.951317
Fine loamy,Groundwater Gley: Poorly drained mineral soil,79.2,829,2,0,0.013974873135411237,-1.057328153459824,12.032773,-72.719086
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,253.6,1385,3,2,1.3294032666416742,1.891571037316646,28.643375,71.11891
All,River alluvium,20.5,1282,0,1,-4.056601800168476,-1.681321353469155,-109.13636,-14.756709
Fine loamy,Groundwater Gley: Poorly drained mineral soil,80.1,1079,3,2,1.781816986051303,-0.08891143057560613,56.623642,2.8157918
Peat,Peat soils,72.8,879,1,1,-1.9404142405233,-1.5115701349425545,-52.19269,-69.89776
Peat,Peat soils,255.8,1422,1,1,-2.560462889109652,0.9876594015331532,-53.450214,37.88322
All,River alluvium,95.4,1128,0,1,-4.066328545615819,-1.3593374530792535,-100.39414,-18.492714
Fine loamy,Brown Earth: Well drained mineral soils,11.4,1277,3,2,1.7539289236140974,-0.278524314942178,10.866886,3.9820015
Fine loamy,Luvisol: Well drained mineral soils,134.2,1012,2,0,-0.18522404193406006,-0.26930104622150486,5.6859875,-15.059578
Coarse loamy,Brown Earth: Well drained mineral soils,37.9,1349,2,0,-0.2628812738697994,-0.42433009273154276,-35.094337,1.3081052
Peat,Peat soils,58.7,1215,1,1,-2.13772632369518,-1.000240415301503,-64.022224,-10.585548
Fine loamy,Surface-water Gley: Poorly drained mineral soil,65.0,828,2,0,0.035405885681573324,-1.1746260001851105,4.681157,-75.46764
Fine loamy,Luvisol: Well drained mineral soils,65.0,851,3,2,1.9518098793723064,-0.6364155566160116,73.737885,-42.64784
Peat,Peat soils,220.0,1654,1,1,-2.6585558955888113,1.1288381384707038,-63.859222,35.919075
Fine loamy,Luvisol: Well drained mineral soils,9.7,991,3,2,1.941932287498549,-0.8251481052242339,30.502745,-36.001892
Peat,Peat soils,243.0,1456,2,0,-0.6324607079162385,1.4423083211539764,-8.148453,52.36092
All,River alluvium,188.3,1114,0,1,-4.193210827078441,-0.6302144236643964,-97.0546,-14.72005
Peat,Peat soils,204.0,2130,1,3,-2.943898943310537,1.88553554941638,-76.199295,42.312862
Fine loamy,Luvisol: Well drained mineral soils,47.4,936,3,2,1.9224326178012712,-0.6211389182489221,49.726444,-33.843906
Coarse loamy,Brown Earth: Well drained mineral soils,71.9,1139,3,2,1.7548987646667884,-0.04379392992417008,45.033127,6.032812
Peat,Peat soils,152.0,1629,2,0,-0.6114953123049016,1.024840089235847,-21.203644,32.427048
Peat,Peat soils,59.0,1481,2,0,-0.37938456328543424,-0.006893999721814037,-32.036488,11.391758
Loamy,Podzols: Well drained acid mineral soil,217.0,1785,2,0,-0.8078160049346019,1.843859686608924,-19.63714,47.63286
Sandy,Brown Podzolic: Well drained acid mineral soil,61.1,968,3,2,1.8816250728475232,-0.450154185017129,53.30539,-23.055206
Fine loamy,Brown Earth: Well drained mineral soils,21.9,1040,3,2,1.892292926694907,-0.6346870240077133,25.748232,-19.73642
All,River alluvium,107.3,916,2,0,-0.0835837646009141,-0.6668203506591605,19.550116,-55.5358
Fine loamy,Surface-water Gley: Poorly drained mineral soil,60.5,1098,2,0,-0.1331450108241219,-0.7082105848346186,-18.499546,-41.64835
Peat,Peat soils,252.0,2222,1,3,-3.0738254276026162,2.4471295472751895,-76.631065,45.059906
Peat,Peat soils,140.1,1871,2,0,-0.7510536256493174,1.378936650472943,-28.015478,35.631165
Peat,Peat soils,309.0,1348,1,1,-2.590323081188047,1.2822753892511551,-51.854805,41.002396
Peat,Peat soils,173.8,1268,1,1,-2.340559219334553,0.03416900150497004,-55.358574,14.957429
Fine loamy,Surface-water Gley: Poorly drained mineral soil,251.4,1416,2,0,-0.6188082961539627,1.4360756934489807,-7.6608725,53.136593
Fine loamy,Luvisol: Well drained mineral soils,58.3,1508,2,0,-0.39587376635980487,0.0377152373192613,-32.724857,12.955974
Fine loamy,Brown Earth: Well drained mineral soils,8.8,782,2,0,0.14749531884203382,-1.7171838179383667,-6.9793367,-79.93814
Peat,Peat soils,531.0,3127,1,3,-4.069187637988515,6.401152440694739,-65.39679,64.85675
Fine loamy,Brown Earth: Well drained mineral soils,72.0,1016,3,2,1.8345369772581792,-0.272124038636836,57.45326,-12.557443
Loamy,Brown Podzolic: Well drained acid mineral soil,61.0,1323,2,0,-0.27982416304091595,-0.284981895644984,-29.427872,-12.707152
Fine loamy,Surface-water Gley: Poorly drained mineral soil,32.2,971,2,0,-0.009347463104277587,-1.1748622899329833,-13.336433,-71.406624
Fine loamy,Brown Earth: Well drained mineral soils,168.5,1328,3,2,1.4909243932094336,1.0935863539168014,41.383965,58.114048
