Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Raw_Hydrology,Flood_Risk_Index,Runoff_Index,Cluster_Agglo,Cluster_KMeans,UMAP1,UMAP2
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.07782662767530726,0.553305504899396,3,3,0.6311321325747032,0.07782662767530726,0,1,-4.03302,-2.294065
Peat,Peat soils,-0.16565123658812686,-0.363665287604019,3,3,-0.19801405101589215,0.16565123658812686,0,1,-6.8489904,-3.2824612
Peat,Peat soils,0.545953286910618,1.109831803494236,2,2,0.5638785165836181,0.45404671308938205,0,0,0.80236775,14.129153
Peat,Lithosols: Stony mineral soils often overlying bedrock,1.971414246957155,-0.3578981757014818,0,0,-2.329312422658637,1.028585753042845,0,0,9.297332,7.475048
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,-0.6317972377407858,0.5417712810943216,0,0,1.1735685188351073,3.631797237740786,0,0,12.783224,-1.9455073
Fine loamy,Surface-water Gley: Poorly drained mineral soil,0.005494155139419271,-0.24255593765073777,3,3,-0.24805009279015705,-0.005494155139419271,0,1,-7.0198307,-2.3166256
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.6025223681031793,0.09770366459895712,3,3,0.7002260327021363,0.6025223681031793,0,1,-2.896128,-3.433841
Fine loamy,Luvisol: Well drained mineral soils,0.29148711236834535,-0.992280484980574,0,0,-1.2837675973489193,2.7085128876316547,0,0,14.912408,7.8908343
Fine loamy,Brown Podzolic: Well drained acid mineral soil,6.43245399711859,-0.10414525198984494,0,0,-6.536599249108435,-3.43245399711859,1,1,5.7621565,7.075246
Fine loamy,Luvisol: Well drained mineral soils,-1.296111587209551,-0.833684907660801,0,0,0.46242667954875005,4.296111587209551,0,0,14.632319,-5.3518186
Fine loamy,Brown Earth: Well drained mineral soils,-2.271189937446755,0.5158192775329042,0,0,2.7870092149796593,5.271189937446755,0,0,7.406292,-0.5440765
Fine loamy,Luvisol: Well drained mineral soils,-0.7556524554383521,-0.7933151243430405,0,0,-0.03766266890468839,3.7556524554383524,0,0,17.82902,-1.5747212
Peat,Peat soils,1.489504854461169,0.9743046737846117,2,2,-0.5152001806765574,-0.4895048544611691,0,1,0.09553095,12.336745
Peat,Peat soils,-2.0595101108363694,0.6138601798760366,2,2,2.673370290712406,3.0595101108363694,0,0,5.3441806,15.782861
Fine loamy,Surface-water Gley: Poorly drained mineral soil,3.5184785116522113,0.9252842226130455,3,3,-2.5931942890391655,-3.5184785116522113,1,1,-5.051564,5.351032
Fine loamy,Brown Podzolic: Well drained acid mineral soil,2.0862618124585346,-0.7010413339024453,0,0,-2.78730314636098,0.9137381875414654,0,1,8.493542,7.9322724
Fine loamy,Surface-water Gley: Poorly drained mineral soil,2.752828074976346,0.6167437358273052,3,3,-2.1360843391490407,-2.752828074976346,1,1,-6.1273217,5.0587935
Peat,Lithosols: Stony mineral soils often overlying bedrock,-1.6901963707927166,0.33127169665171374,0,0,2.02146806744443,4.690196370792717,0,0,8.384222,-2.3418143
Peat,Peat soils,0.8499615485319173,0.4494974906537264,2,2,-0.4004640578781909,0.1500384514680827,0,1,-0.31485268,13.12144
Coarse loamy,Brown Earth: Well drained mineral soils,-2.151838545847282,-0.42710351853192824,3,3,1.7247350273153539,2.151838545847282,0,0,1.8440108,-1.9096175
Fine loamy,Brown Earth: Well drained mineral soils,-1.3636689786809508,-0.9028902504912474,0,0,0.46077872818970345,4.363668978680951,0,0,14.314853,-5.6112943
Peat,Peat soils,-1.8838608930107295,-0.9893969290293053,2,2,0.8944639639814241,2.8838608930107297,0,0,2.5786464,19.024408
Fine loamy,Luvisol: Well drained mineral soils,-0.4133616719832596,-1.0153489325907228,0,0,-0.6019872606074632,3.41336167198326,0,0,19.238169,3.401218
